Name,description,timestamp,begin,end,altitudeMode,tessellate,extrude,visibility,drawOrder,icon,Name_2,description_2,timestamp_2,begin_2,end_2,altitudeMode_2,tessellate_2,extrude_2,visibility_2,drawOrder_2,icon_2
"2",2<BR>ECID=ffb5b6cb-b4a7-4e97-be60-d63713461649<BR>ID=ffb5b6cb-b4a7-4e97-be60-d63713461649<BR>LABEL=UNIT:2||Abutia Amegame|2019226<BR>OWNGEOMETRY=True<BR>EDITED=False<BR>LOCALITY=Abutia Amegame<BR>DATASET=Lots<BR>UNITID=2<BR>DATE=2019-02-26T00:00:00Z<BR>OBJECTTYPE=Unit<BR>,,,,,"-1","0","-1",,,Village,,,,,,"-1","0","-1",,
"231",231<BR>ECID=557259f2-77c8-474c-ab00-ad78dfc810d8<BR>ID=557259f2-77c8-474c-ab00-ad78dfc810d8<BR>LABEL=UNIT:231||Abutia Amegame|201956<BR>OWNGEOMETRY=True<BR>EDITED=False<BR>LOCALITY=Abutia Amegame<BR>DATASET=Lots<BR>UNITID=231<BR>DATE=2019-05-06T10:58:00Z<BR>OBJECTTYPE=Unit<BR>,,,,,"-1","0","-1",,,Village,,,,,,"-1","0","-1",,
"232",232<BR>ECID=f3b3d0a1-41be-4013-9f42-75b5d66f0fb9<BR>ID=f3b3d0a1-41be-4013-9f42-75b5d66f0fb9<BR>LABEL=UNIT:232||Abutia Amegame|201956<BR>OWNGEOMETRY=True<BR>EDITED=False<BR>LOCALITY=Abutia Amegame<BR>DATASET=Lots<BR>UNITID=232<BR>DATE=2019-05-06T10:58:00Z<BR>OBJECTTYPE=Unit<BR>,,,,,"-1","0","-1",,,Village,,,,,,"-1","0","-1",,
"233",233<BR>ECID=d1e1486c-4266-4616-9cbc-082afe1b22a1<BR>ID=d1e1486c-4266-4616-9cbc-082afe1b22a1<BR>LABEL=UNIT:233||Abutia Amegame|201956<BR>OWNGEOMETRY=True<BR>EDITED=False<BR>LOCALITY=Abutia Amegame<BR>DATASET=Lots<BR>UNITID=233<BR>DATE=2019-05-06T10:58:00Z<BR>OBJECTTYPE=Unit<BR>,,,,,"-1","0","-1",,,Village,,,,,,"-1","0","-1",,
"234",234<BR>ECID=9f5ece62-4e4c-4c1d-a3c7-3b80bfda55e4<BR>ID=9f5ece62-4e4c-4c1d-a3c7-3b80bfda55e4<BR>LABEL=UNIT:234||Abutia Amegame|201956<BR>OWNGEOMETRY=True<BR>EDITED=False<BR>LOCALITY=Abutia Amegame<BR>DATASET=Lots<BR>UNITID=234<BR>DATE=2019-05-06T10:58:00Z<BR>OBJECTTYPE=Unit<BR>,,,,,"-1","0","-1",,,Village,,,,,,"-1","0","-1",,
"235",235<BR>ECID=30cff74f-82d4-41e3-8af3-46c00d01d075<BR>ID=30cff74f-82d4-41e3-8af3-46c00d01d075<BR>LABEL=UNIT:235||Abutia Amegame|201956<BR>OWNGEOMETRY=True<BR>EDITED=False<BR>LOCALITY=Abutia Amegame<BR>DATASET=Lots<BR>UNITID=235<BR>DATE=2019-05-06T10:58:00Z<BR>OBJECTTYPE=Unit<BR>,,,,,"-1","0","-1",,,Village,,,,,,"-1","0","-1",,
"236",236<BR>ECID=83a9112c-93ec-4255-83e9-5f46ee26faed<BR>ID=83a9112c-93ec-4255-83e9-5f46ee26faed<BR>LABEL=UNIT:236||Abutia Amegame|201956<BR>OWNGEOMETRY=True<BR>EDITED=False<BR>LOCALITY=Abutia Amegame<BR>DATASET=Lots<BR>UNITID=236<BR>DATE=2019-05-06T10:58:00Z<BR>OBJECTTYPE=Unit<BR>,,,,,"-1","0","-1",,,Village,,,,,,"-1","0","-1",,
"237",237<BR>ECID=005b2f67-e9b9-47e5-8666-a5c69bfb0e9c<BR>ID=005b2f67-e9b9-47e5-8666-a5c69bfb0e9c<BR>LABEL=UNIT:237||Abutia Amegame|201956<BR>OWNGEOMETRY=True<BR>EDITED=False<BR>LOCALITY=Abutia Amegame<BR>DATASET=Lots<BR>UNITID=237<BR>DATE=2019-05-06T10:58:00Z<BR>OBJECTTYPE=Unit<BR>,,,,,"-1","0","-1",,,Village,,,,,,"-1","0","-1",,
"238",238<BR>ECID=291b688e-d164-4845-ae24-5a824dced52c<BR>ID=291b688e-d164-4845-ae24-5a824dced52c<BR>LABEL=UNIT:238||Abutia Amegame|201956<BR>OWNGEOMETRY=True<BR>EDITED=False<BR>LOCALITY=Abutia Amegame<BR>DATASET=Lots<BR>UNITID=238<BR>DATE=2019-05-06T10:58:00Z<BR>OBJECTTYPE=Unit<BR>,,,,,"-1","0","-1",,,Village,,,,,,"-1","0","-1",,
"239",239<BR>ECID=2e55d722-144c-4c04-aba2-77b8d32af312<BR>ID=2e55d722-144c-4c04-aba2-77b8d32af312<BR>LABEL=UNIT:239||Abutia Amegame|201956<BR>OWNGEOMETRY=True<BR>EDITED=False<BR>LOCALITY=Abutia Amegame<BR>DATASET=Lots<BR>UNITID=239<BR>DATE=2019-05-06T10:58:00Z<BR>OBJECTTYPE=Unit<BR>,,,,,"-1","0","-1",,,Village,,,,,,"-1","0","-1",,
