BIN	TotalMembers	Taxa	Count in Project	Unique
BOLD:AGB6815	1	Miridae	1	T
BOLD:AGB6817	1	Membracidae	1	T
BOLD:AGB6822	1	Harpactorini	1	T
BOLD:AGB6825	5	Cydnidae	1	T
BOLD:AGB6825	5	Hemiptera	4	T
BOLD:AGB6835	1	Reduviidae	1	T
BOLD:AGB6839	2	Cixiidae	2	T
BOLD:AGB6843	7	Cydnidae	1	T
BOLD:AGB6843	7	Hemiptera	6	T
BOLD:AGB6846	3	Cydnidae	3	T
BOLD:AGB6861	1	Pentatomidae	1	T
BOLD:AGB6878	1	Pentatomidae	1	T
BOLD:AGB6886	1	Reduviidae	1	T
BOLD:AGB6888	1	Reduviidae	1	T
BOLD:AGB7043	1	Pentatomidae	1	T
BOLD:AGB7057	1	Cixiidae	1	T
BOLD:AGB7058	30	Fulgoridae	29	T
BOLD:AGB7058	30	Hemiptera	1	T
BOLD:AGB7068	3	Hemiptera	3	T
BOLD:AGB7159	3	Harpalinae	3	T
BOLD:AGB7271	1	Geometrinae	1	T
BOLD:AGB7298	1	Gelechiidae	1	T
BOLD:AGB7302	2	Gelechiidae	2	T
BOLD:AGB7410	3	Eustrotiinae	3	T
BOLD:AGB7542	2	Erebinae	2	T
BOLD:AGB7551	3	Erebidae	3	T
BOLD:AGB7555	1	Erebidae	1	T
BOLD:AGB7557	1	Erebidae	1	T
BOLD:AGB7731	1	Doryctinae	1	T
BOLD:AGB8619	2	Diptera	1	T
BOLD:AGB8619	2	Pyrgotidae	1	T
BOLD:AGB8626	1	Keroplatidae	1	T
BOLD:AGB9833	1	Pyrgotidae	1	T
BOLD:AGB9845	4	Asilidae	4	T
BOLD:AGB9848	1	Ceratopogonidae	1	T
BOLD:AGB9853	2	Chironomidae	1	T
BOLD:AGB9853	2	Diptera	1	T
BOLD:AGB9854	1	Cecidomyiidae	1	T
BOLD:AGB9970	1	Asilidae	1	T
BOLD:AGC0159	3	Crambidae	3	T
BOLD:AGC0161	1	Crambidae	1	T
BOLD:AGC0165	1	Crambidae	1	T
BOLD:AGC0167	8	Crambidae	8	T
BOLD:AGC0170	1	Crambidae	1	T
BOLD:AGC0171	1	Crambidae	1	T
BOLD:AGC0172	1	Crambidae	1	T
BOLD:AGC0242	1	Paussinae	1	T
BOLD:AGC0243	7	Paussinae	7	T
BOLD:AGC0397	1	Hydrophilidae	1	T
BOLD:AGC0401	1	Cerambycidae	1	T
BOLD:AGC0403	3	Cerambycidae	1	T
BOLD:AGC0403	3	Coleoptera	2	T
BOLD:AGC0404	1	Hydrophilidae	1	T
BOLD:AGC0412	1	Anthribidae	1	T
BOLD:AGC0413	2	Carabidae	1	T
BOLD:AGC0413	2	Coleoptera	1	T
BOLD:AGC0414	1	Chrysomelidae	1	T
BOLD:AGC0415	2	Hydrophilidae	2	T
BOLD:AGC0416	2	Coleoptera	1	T
BOLD:AGC0416	2	Hydrophilidae	1	T
BOLD:AGC0418	8	Coleoptera	6	T
BOLD:AGC0418	8	Tenebrionidae	2	T
BOLD:AGC0419	1	Scarabaeidae	1	T
BOLD:AGC0421	12	Coleoptera	11	T
BOLD:AGC0421	12	Curculionidae	1	T
BOLD:AGC0424	2	Coleoptera	1	T
BOLD:AGC0424	2	Scarabaeidae	1	T
BOLD:AGC0427	1	Tenebrionidae	1	T
BOLD:AGC0428	1	Ptinidae	1	T
BOLD:AGC0429	1	Scirtidae	1	T
BOLD:AGC0430	2	Curculionidae	2	T
BOLD:AGC0432	1	Staphylinidae	1	T
BOLD:AGC0438	1	Staphylinidae	1	T
BOLD:AGC0440	1	Carabidae	1	T
BOLD:AGC0441	14	Chrysomelidae	14	T
BOLD:AGC0444	1	Chrysomelidae	1	T
BOLD:AGC0447	1	Nitidulidae	1	T
BOLD:AGC0451	1	Hybosoridae	1	T
BOLD:AGC0600	1	Tenebrionidae	1	T
BOLD:AGC0745	1	Carabidae	1	T
BOLD:AGC0746	2	Chrysomelidae	2	T
BOLD:AGC0747	1	Scarabaeidae	1	T
BOLD:AGC0749	1	Sphindidae	1	T
BOLD:AGC0750	1	Scarabaeidae	1	T
BOLD:AGC0751	2	Bostrichidae	2	T
BOLD:AGC0752	1	Tenebrionidae	1	T
BOLD:AGC0754	1	Erotylidae	1	T
BOLD:AGC0757	1	Chrysomelidae	1	T
BOLD:AGC0759	1	Chrysomelidae	1	T
BOLD:AGC0760	1	Curculionidae	1	T
BOLD:AGC0764	1	Scarabaeidae	1	T
BOLD:AGC0769	1	Endomychidae	1	T
BOLD:AGC0770	1	Carabidae	1	T
BOLD:AGC0774	1	Carabidae	1	T
BOLD:AGC0776	1	Hydrophilidae	1	T
BOLD:AGC0783	1	Bothrideridae	1	T
BOLD:AGC0787	1	Curculionidae	1	T
BOLD:AGC0789	1	Chrysomelidae	1	T
BOLD:AGC0791	2	Cerambycidae	2	T
BOLD:AGC0793	1	Coccinellidae	1	T
BOLD:AGC0794	1	Hydrophilidae	1	T
BOLD:AGC0795	1	Scarabaeidae	1	T
BOLD:AGC0796	1	Scarabaeidae	1	T
BOLD:AGC0798	3	Scarabaeidae	3	T
BOLD:AGC0799	5	Curculionidae	5	T
BOLD:AGC0802	2	Tenebrionidae	2	T
BOLD:AGC0804	1	Carabidae	1	T
BOLD:AGC0807	1	Bostrichidae	1	T
BOLD:AGC0810	2	Bostrichidae	2	T
BOLD:AGC0811	1	Cerambycidae	1	T
BOLD:AGC0818	1	Cleridae	1	T
BOLD:AGC0820	1	Scarabaeidae	1	T
BOLD:AGC0821	1	Tenebrionidae	1	T
BOLD:AGC0822	1	Elateridae	1	T
BOLD:AGC0823	1	Curculionidae	1	T
BOLD:AGC0832	1	Cerambycidae	1	T
BOLD:AGC0833	2	Chrysomelidae	2	T
BOLD:AGC0864	1	Carabidae	1	T
BOLD:AGC0871	1	Cerambycidae	1	T
BOLD:AGC1054	1	Cicadellidae	1	T
BOLD:AGC1340	2	Chloephorinae	2	T
BOLD:AGC1341	1	Chloephorinae	1	T
BOLD:AGC2010	1	Cecidomyiidae	1	T
BOLD:AGC2012	1	Cecidomyiidae	1	T
BOLD:AGC2170	2	Carabidae	2	T
BOLD:AGC2174	2	Carabidae	2	T
BOLD:AGC2178	1	Carabidae	1	T
BOLD:AGC2247	1	Diospilini	1	T
BOLD:AGC2307	1	Boletobiinae	1	T
