BIN	TotalMembers	Taxa	Count in Project	Unique
BOLD:AEC9422	4	Trypoxylon	1	T
BOLD:AEC9445	20	Cicadellidae	20	T
BOLD:AEC9465	6	Chloropidae	6	T
BOLD:AEC9481	1	Diapriinae	1	T
BOLD:AEC9492	36	Formicidae	35	T
BOLD:AEC9492	36	Hymenoptera	1	T
BOLD:AEC9500	1	Buprestidae	1	T
BOLD:AEC9532	4	Formicidae	4	T
BOLD:AEC9546	7	Formicidae	7	T
BOLD:AEC9564	16	Formicidae	16	T
BOLD:AEC9597	1	Evaniidae	1	T
BOLD:AEC9695	2	Formicidae	2	T
BOLD:AEC9696	1	Psylloidea_incertae_sedis	1	T
BOLD:AEC9725	3	Coleoptera	3	T
BOLD:AEC9757	2	Crabronidae	1	T
BOLD:AEC9757	2	Larra	1	T
BOLD:AEC9811	1	Scelionidae	1	T
BOLD:AEC9832	3	Larra	1	T
BOLD:AEC9832	3	Larrinae	2	T
BOLD:AEC9889	17	Pompilidae	17	T
BOLD:AEC9995	4	Hemiptera	1	T
BOLD:AEC9995	4	Reduviidae	3	T
BOLD:AED0083	1	Phoridae	1	T
BOLD:AED0096	3	Hemiptera	2	T
BOLD:AED0096	3	Veliidae	1	T
BOLD:AED0104	2	Cicadellidae	1	T
BOLD:AED0104	2	Hemiptera	1	T
BOLD:AED0106	2	Scelionidae	2	T
BOLD:AED0107	1	Cecidomyiidae	1	T
BOLD:AED0117	3	Dolichopodidae	3	T
BOLD:AED0124	3	Carabidae	1	T
BOLD:AED0124	3	Coleoptera	2	T
BOLD:AED0155	1	Pompilidae	1	T
BOLD:AED0162	11	Anthicidae	11	T
BOLD:AED0163	1	Attelabidae	1	T
BOLD:AED0182	1	Acrididae	1	T
BOLD:AED0184	5	Carabidae	5	T
BOLD:AED0262	4	Hymenoptera	3	T
BOLD:AED0262	4	Scelionidae	1	T
BOLD:AED0312	1	Scarabaeidae	1	T
BOLD:AED0329	2	Tenebrionidae	2	T
BOLD:AED0354	3	Gryllidae	3	T
BOLD:AED0371	26	Bethylidae	26	T
BOLD:AED0377	8	Crabroninae	1	T
BOLD:AED0377	8	Trypoxylon	7	T
BOLD:AED0404	1	Acrididae	1	T
BOLD:AED0413	6	Meloidae	6	T
BOLD:AED0421	6	Formicidae	6	T
BOLD:AED0428	9	Chloropidae	9	T
BOLD:AED0502	2	Tachysphex	2	T
BOLD:AED0579	1	Dolichopodidae	1	T
BOLD:AED0600	2	Idolothripinae	1	T
BOLD:AED0600	2	Phlaeothripidae	1	T
BOLD:AED0631	2	Meloidae	2	T
BOLD:AED0731	74	Formicidae	73	T
BOLD:AED0731	74	Hymenoptera	1	T
BOLD:AED0774	6	Chloropidae	6	T
BOLD:AED0799	7	Crabronidae	4	T
BOLD:AED0799	7	Hymenoptera	2	T
BOLD:AED0799	7	Larra	1	T
BOLD:AED0929	3	Carabidae	1	T
BOLD:AED0929	3	Coleoptera	2	T
BOLD:AEF0710	3	Lepidoptera	3	T
BOLD:AEK5411	2	Blattidae	2	T
BOLD:AER3366	2	Galerucinae	2	T
BOLD:AEW6135	1	Lepidoptera	1	T
BOLD:AEW6167	1	Collembola	1	T
BOLD:AEW6191	4	Ceratopogonidae	4	T
BOLD:AEW6235	1	Eulophinae	1	T
BOLD:AEW6296	2	Coleoptera	1	T
BOLD:AEW6296	2	Erotylidae	1	T
BOLD:AEW6335	11	Phoridae	11	T
BOLD:AEW6353	1	Cecidomyiidae	1	T
BOLD:AEW6384	1	Chalcidinae	1	T
BOLD:AEW6402	2	Hymenoptera	1	T
BOLD:AEW6402	2	Ichneumonidae	1	T
BOLD:AEW6403	1	Oxybelus	1	T
BOLD:AEW6448	1	Lauxaniidae	1	T
BOLD:AEW6597	4	Chrysomelidae	2	T
BOLD:AEW6597	4	Coleoptera	2	T
BOLD:AEW6610	1	Formicidae	1	T
BOLD:AEW6634	13	Formicidae	2	T
BOLD:AEW6634	13	Hymenoptera	11	T
BOLD:AEW6912	1	Cecidomyiidae	1	T
BOLD:AEW7035	1	Ephydridae	1	T
BOLD:AEW7078	1	Sphaeroceridae	1	T
BOLD:AEW7098	1	Phoridae	1	T
BOLD:AEW7117	2	Dolichopodidae	2	T
BOLD:AEW7147	5	Chrysomelidae	1	T
BOLD:AEW7147	5	Coleoptera	4	T
BOLD:AEW7169	1	Chrysomelidae	1	T
BOLD:AEW7218	7	Chloropidae	7	T
BOLD:AEW7271	1	Cecidomyiidae	1	T
BOLD:AEW7378	4	Entomobryomorpha	4	T
BOLD:AEW7536	1	Chironomidae	1	T
BOLD:AEW7547	1	Cecidomyiidae	1	T
BOLD:AEW7904	1	Lepidoptera	1	T
