BIN	TotalMembers	Taxa	Count in Project	Unique
BOLD:AEL9277	7	Sogatella	7	T
BOLD:AEL9278	1	Cicadellidae	1	T
BOLD:AEL9279	1	Cicadellidae	1	T
BOLD:AEL9281	3	Nabidae	3	T
BOLD:AEL9282	2	Cicadellidae	2	T
BOLD:AEL9284	2	Cicadellidae	2	T
BOLD:AEL9285	1	Cicadellidae	1	T
BOLD:AEL9297	15	Rhyparochromidae	15	T
BOLD:AEL9316	3	Corylophidae	3	T
BOLD:AEL9317	1	Tenebrionidae	1	T
BOLD:AEL9318	1	Lyctinae	1	T
BOLD:AEL9325	5	Paederinae	1	T
BOLD:AEL9325	5	Staphylinidae	4	T
BOLD:AEL9327	3	Aleocharinae	3	T
BOLD:AEL9329	1	Laemophloeidae	1	T
BOLD:AEL9332	3	Staphylininae	3	T
BOLD:AEL9376	1	Cicadellidae	1	T
BOLD:AEL9379	67	Cicadellidae	67	T
BOLD:AEL9385	2	Chironomidae	2	T
BOLD:AEL9403	1	Euaesthetinae	1	T
BOLD:AEL9406	1	Figitidae	1	T
BOLD:AEL9408	1	Miridae	1	T
BOLD:AEL9410	3	Corixidae	3	T
BOLD:AEL9463	8	Cosmopterix	8	T
BOLD:AEL9472	1	Latridiidae	1	T
BOLD:AEL9473	7	Corylophidae	7	T
BOLD:AEL9487	6	Aleocharinae	6	T
BOLD:AEL9488	20	Dytiscidae	20	T
BOLD:AEL9493	1	Sciaridae	1	T
BOLD:AEL9550	1	Streblocera	1	T
BOLD:AEL9552	1	Euphorinae	1	T
BOLD:AEL9568	3	Cosmopterigidae	3	T
BOLD:AEL9588	30	Miridae	30	T
BOLD:AEL9591	2	Cicadellidae	2	T
BOLD:AEL9604	1	Dytiscidae	1	T
BOLD:AEL9637	4	Miridae	4	T
BOLD:AEL9686	1	Corixidae	1	T
BOLD:AEL9750	2	Figitidae	2	T
BOLD:AEL9751	1	Agaonidae	1	T
BOLD:AEL9785	3	Nitidulidae	3	T
BOLD:AEL9809	8	Scirtidae	8	T
BOLD:AEL9810	1	Ptiliidae	1	T
BOLD:AEL9811	1	Chironomidae	1	T
BOLD:AEL9828	2	Cicadellidae	2	T
BOLD:AEL9877	2	Eulophidae	2	T
BOLD:AEL9881	1	Cicadellidae	1	T
BOLD:AEL9892	1	Cecidomyiidae	1	T
BOLD:AEL9893	1	Psychodinae	1	T
BOLD:AEL9943	2	Phoridae	2	T
BOLD:AEL9944	1	Chloropidae	1	T
BOLD:AEL9945	1	Sciaridae	1	T
BOLD:AEL9966	1	Odiniidae	1	T
BOLD:AEM0000	23	Limnichidae	23	T
BOLD:AEM0001	35	Hydrophilidae	35	T
BOLD:AEM0005	2	Phoridae	2	T
BOLD:AEM0006	1	Cecidomyiinae	1	T
BOLD:AEM0010	11	Limnichidae	11	T
BOLD:AEM0011	1	Tingidae	1	T
BOLD:AEM0015	1	Psylloidea_incertae_sedis	1	T
BOLD:AEM0018	4	Rhyparochromidae	4	T
BOLD:AEM0028	4	Corixidae	4	T
BOLD:AEM0030	18	Ochteridae	18	T
BOLD:AEM0034	4	Delphacidae	4	T
BOLD:AEM0065	3	Platygastridae	3	T
BOLD:AEM0069	1	Scirtothrips	1	T
BOLD:AEM0100	4	Aleocharinae	4	T
BOLD:AEM0146	1	Scarabaeidae	1	T
BOLD:AEM0149	1	Ptinidae	1	T
BOLD:AEM0150	6	Carabidae	6	T
BOLD:AEM0154	9	Paederinae	9	T
BOLD:AEM0156	100	Oxytelinae	100	T
BOLD:AEM0186	5	Cicadellidae	5	T
BOLD:AEM0207	7	Dytiscidae	7	T
BOLD:AEM0211	14	Oxytelinae	14	T
BOLD:AEM0229	1	Gelechiidae	1	T
BOLD:AEM0236	4	Elachistidae	4	T
BOLD:AEM0240	3	Cicadellidae	3	T
BOLD:AEM0241	4	Paederinae	4	T
BOLD:AEM0264	4	Cecidomyiidae	4	T
BOLD:AEM0341	2	Cydnidae	2	T
BOLD:AEM0371	1	Cicadellidae	1	T
BOLD:AEM0372	1	Cicadellidae	1	T
BOLD:AEM0388	12	Hydrophilidae	12	T
BOLD:AEM0455	48	Delphacidae	48	T
BOLD:AEM0463	6	Euxestidae	6	T
BOLD:AEM0465	5	Euxestidae	5	T
BOLD:AEM0468	1	Arachnida	1	T
BOLD:AEM0472	1	Thrips	1	T
BOLD:AEM0488	2	Nitidulidae	2	T
BOLD:AEM0496	1	Cecidomyiidae	1	T
BOLD:AEM0531	3	Cosmopterigidae	3	T
BOLD:AEM0571	2	Dytiscidae	2	T
BOLD:AEM0585	27	Hydrophilidae	27	T
BOLD:AEM0599	1	Cecidomyiidae	1	T
BOLD:AEM0628	14	Dytiscidae	14	T
BOLD:AEM0629	135	Hydrophilidae	135	T
BOLD:AEM0636	1	Nanophyinae	1	T
BOLD:AEM0638	11	Mordellidae	11	T
BOLD:AEM0641	23	Noteridae	23	T
BOLD:AEM0727	1	Chironomidae	1	T
BOLD:AEM0754	1	Myrmecolacidae	1	T
BOLD:AEM0827	2	Euphorinae	2	T
BOLD:AEM0854	6	Dytiscidae	6	T
BOLD:AEM0912	31	Macrosteles	31	T
BOLD:AEM0914	7	Cicadellidae	7	T
BOLD:AEM0928	3	Sciaridae	3	T
BOLD:AEM0954	12	Agaonidae	12	T
BOLD:AEM1025	3	Hydraenidae	3	T
BOLD:AEM1084	5	Oxytelinae	5	T
BOLD:AEM1102	2	Eulophidae	2	T
BOLD:AEM1125	2	Chyromyidae	2	T
BOLD:AEM1180	10	Delphacidae	10	T
